Country,Initials,Host,Year,Attendance,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach,Comebacks,Bottled,Draw,HT victory,2nd HF win,NT win,NT loss,NT draw,ET win,ET loss,GG win,GG loss,PEN win,PEN loss
Cameroon,CMR,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Chile,1962,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Spain,1982,50000,Group stage,Italy,Eliminated in the group stages,1,1,3,0,3,0,0.0,VINCENT Jean (FRA),0,0,3,0,0,0,0,3,0,0,0,0,0,0
Cameroon,CMR,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Italy,1990,255005,Quarter-finals,England,Eliminated by England,7,9,5,3,0,2,60.0,NEPOMNYASHCHI Valeri (RUS),0,0,0,0,3,2,1,0,1,1,0,0,0,0
Cameroon,CMR,USA,1994,251509,Group stage,Russia,Eliminated in the group stages,3,11,3,0,1,2,0.0,MICHEL Henri (FRA),0,0,1,0,0,0,2,1,0,0,0,0,0,0
Cameroon,CMR,France,1998,98800,Group stage,Chile,Eliminated in the group stages,2,5,3,0,2,1,0.0,LE ROY Claude (FRA),0,0,1,0,0,0,1,2,0,0,0,0,0,0
Cameroon,CMR,Korea/Japan,2002,133092,Group stage,Germany,Eliminated in the group stages,2,3,3,1,1,1,33.33,SCHAEFER Winni (GER),0,1,0,0,1,1,1,1,0,0,0,0,0,0
Cameroon,CMR,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,South Africa,2010,131787,Group stage,Netherlands,Eliminated in the group stages,2,5,3,0,0,3,0.0,Paul LE GUEN (FRA),0,0,0,0,0,0,3,0,0,0,0,0,0,0
Cameroon,CMR,Brazil,2014,148310,Group stage,Brazil,Eliminated in the group stages,1,9,3,0,0,3,0.0,Volker FINKE (GER),0,0,0,0,0,0,3,0,0,0,0,0,0,0
Canada,CAN,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Chile,1962,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Mexico,1986,93500,Group stage,Soviet Union,Eliminated in the group stages,0,5,3,0,0,3,0.0,WAITERS Tony (ENG),0,0,0,0,0,0,3,0,0,0,0,0,0,0
Canada,CAN,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,USA,1994,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,France,1998,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,South Africa,2010,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Brazil,2014,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Uruguay,1930,52708,Group stage,Argentina,Eliminated in the group stages,5,3,3,2,0,1,66.67,ORTH Gyorgy (HUN),0,0,0,1,1,2,1,0,0,0,0,0,0,0
Chile,CHI,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Brazil,1950,57994,Group stage,USA,Eliminated in the group stages,5,6,3,1,0,2,33.33,BUCCIARDI Arturo (CHI),0,0,0,1,0,1,2,0,0,0,0,0,0,0
Chile,CHI,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Chile,1962,358846,Third place,Yugoslavia,Beaten Yugoslavia to finish 3rd,10,8,6,4,0,2,66.67,RIERA Fernando (CHI),0,0,0,1,3,4,2,0,0,0,0,0,0,0
Chile,CHI,England,1966,57018,Group stage,Soviet Union,Eliminated in the group stages,2,5,3,0,1,2,0.0,ALAMOS Luis (CHI),0,1,0,0,0,0,2,1,0,0,0,0,0,0
Chile,CHI,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Germany,1974,126800,Group stage,Australia,Eliminated in the group stages,1,2,3,0,2,1,0.0,ALAMOS Luis (CHI),0,0,2,0,0,0,1,2,0,0,0,0,0,0
Chile,CHI,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Spain,1982,80500,Group stage,Algeria,Eliminated in the group stages,3,8,3,0,0,3,0.0,SANTIBANEZ Luis Alberto (CHI),0,0,0,0,0,0,3,0,0,0,0,0,0,0
Chile,CHI,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,USA,1994,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,France,1998,143400,Round of 16,Brazil,Eliminated by Brazil,5,8,4,0,3,1,0.0,ACOSTA Nelson (URU),0,1,2,0,0,0,1,3,0,0,0,0,0,0
Chile,CHI,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Chile,CHI,South Africa,2010,163590,Round of 16,Brazil,Eliminated by Brazil,3,5,4,2,0,2,50.0,Marcelo BIELSA (ARG),0,0,0,1,1,2,2,0,0,0,0,0,0,0
Chile,CHI,Brazil,2014,235086,Round of 16,Brazil,Eliminated by Brazil,6,4,4,2,0,2,50.0,SAMPAOLI Jorge (ARG),0,0,0,2,0,2,1,0,0,0,0,0,0,1
China PR,CHN,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Chile,1962,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Italy,1990,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,USA,1994,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,France,1998,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Korea/Japan,2002,107572,Group stage,Turkey,Eliminated in the group stages,0,9,3,0,0,3,0.0,MILUTINOVIC Bora (YUG),0,0,0,0,0,0,3,0,0,0,0,0,0,0
China PR,CHN,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,South Africa,2010,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
China PR,CHN,Brazil,2014,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Chile,1962,23115,Group stage,Yugoslavia,Eliminated in the group stages,5,11,3,0,1,2,0.0,PEDERNERA Adolfo (ARG),0,1,0,0,0,0,2,1,0,0,0,0,0,0
Colombia,COL,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Italy,1990,185584,Round of 16,Cameroon,Eliminated by Cameroon,4,4,4,1,1,2,25.0,MATURANA Francisco (COL),0,0,1,0,1,1,1,1,0,1,0,0,0,0
Colombia,COL,USA,1994,269126,Group stage,Switzerland,Eliminated in the group stages,4,5,3,1,0,2,33.33,MATURANA Francisco (COL),0,0,0,1,0,1,2,0,0,0,0,0,0,0
Colombia,COL,France,1998,107000,Group stage,England,Eliminated in the group stages,1,3,3,1,0,2,33.33,GOMEZ Hernan (COL),0,0,0,0,1,1,2,0,0,0,0,0,0,0
Colombia,COL,Korea/Japan,2002,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Germany,2006,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,South Africa,2010,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Brazil,2014,300408,Quarter-finals,Brazil,Eliminated by Brazil,12,4,5,4,0,1,80.0,PEKERMAN Jose (ARG),0,0,0,2,2,4,1,0,0,0,0,0,0,0
Costa Rica,CRC,Uruguay,1930,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Italy,1934,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,France,1938,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Brazil,1950,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Switzerland,1954,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Sweden,1958,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Chile,1962,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,England,1966,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Mexico,1970,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Germany,1974,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Argentina,1978,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Spain,1982,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Mexico,1986,,Not qualified,,Did not qualify for the tournament,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRC,Italy,1990,166770,Round of 16,Czechoslovakia,Eliminated by Czechoslovakia,4,6,4,2,0,2,50.0,MILUTINOVIC Bora (YUG),1,0,0,0,1,2,2,0,0,0,0,0,0,0
