Country,Initials,Host,Year,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach
Serbia and Montenegro,SCG,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Germany,2006,Group stage,C�te d'Ivoire,Eliminated in the group stages,2,10,3,0,0,3,0.0,PETKOVIC Ilija (SCG)
Serbia and Montenegro,SCG,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Serbia and Montenegro,SCG,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
